Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
21/03/2022,9800,10200,11300,11500,12300,12350
22/03/2022,9800,10200,11300,11500,12300,12350
23/03/2022,9800,10200,11300,11500,12300,12350
24/03/2022,9800,10200,11300,11500,12300,12350
25/03/2022,9800,10200,11300,11500,12300,12350
28/03/2022,9800,10200,11300,11500,12300,12350
29/03/2022,9800,10200,11300,11500,12300,12350
30/03/2022,9800,10200,11300,11500,12300,12350
31/03/2022,9800,10200,11300,11550,12300,12350
01/04/2022,9800,10200,11300,11550,12300,12350
04/04/2022,9800,10200,11300,11550,12300,12300
05/04/2022,9800,10200,11300,11550,12300,12300
06/04/2022,9800,10200,11300,11550,12300,12300
07/04/2022,9800,10200,11300,11500,12300,12300
08/04/2022,9800,10200,11300,11500,12300,12300
11/04/2022,9800,10200,11300,11500,12300,12300
12/04/2022,9800,10200,11300,11500,12300,12300
13/04/2022,9800,10200,11300,11500,12300,12300
14/04/2022,9800,10200,11300,11500,12300,12300
18/04/2022,9800,10200,11300,11500,12300,12300
19/04/2022,9800,10200,11300,11500,12300,12300
20/04/2022,9800,10200,11300,11500,12350,12250
21/04/2022,9800,10200,11300,11550,12350,12250
22/04/2022,9800,10200,11300,11550,12350,12250
25/04/2022,9800,10200,11300,11550,12350,12250
26/04/2022,9800,10200,11300,11550,12350,12250
27/04/2022,9800,10200,11300,11550,12350,12250
28/04/2022,9800,10250,11300,11550,12350,12300
09/05/2022,9800,10200,11300,11550,12300,12250
10/05/2022,9800,10200,11300,11550,12300,12250
11/05/2022,9800,10200,11300,11550,12300,12300
12/05/2022,9800,10200,11300,11550,12300,12300
13/05/2022,9800,10200,11300,11550,12300,12300
17/05/2022,9800,10200,11300,11550,12300,12300
